318i M Joy Plus,2015,Benzin,Yarı Otomatik,181000,163,1499 cc,557000
320d Premium,2007,Dizel,Otomatik,383000,163,1995 cc,239900
316i M Sport,2013,Benzin,Yarı Otomatik,215000,163,3250 cc,470000
320i Executive M Sport,2020,Benzin,Otomatik,19000,113,1450 cc,1190000
320i,2000,Benzin,Otomatik,229000,163,1991 cc,159500
328i Touring,1995,Benzin & LPG,Manuel,291300,163,2793 cc,184000
320d Premium,2011,Dizel,Otomatik,253000,163,1995 cc,326500
320i ED Standart,2013,Benzin,Otomatik,153967,163,1598 cc,500000
320d M Sport,2012,Dizel,Yarı Otomatik,250000,163,1995 cc,650000
320i First Edition M Sport,2021,Benzin,Otomatik,18000,163,1597 cc,1095000
318i Edition M Sport,2017,Benzin,Otomatik,64000,163,1499 cc,716500
320i ED Techno Plus,2013,Benzin,Otomatik,108800,163,1598 cc,537000
320d Modern Line,2013,Dizel,Yarı Otomatik,228000,163,1995 cc,490000
320i ED M Plus,2016,Benzin,Yarı Otomatik,94850,163,1598 cc,635000
318d Premium,2009,Dizel,Yarı Otomatik,209000,163,1995 cc,365950
320d Premium,2005,Dizel,Otomatik,338000,163,1995 cc,185000
316i Comfort,2012,Benzin,Otomatik,165000,163,1598 cc,425000
318i Edition M Sport,2017,Benzin,Otomatik,77000,163,1499 cc,685000
320d Comfort,2012,Dizel,Otomatik,252000,163,1900 cc,399000
320i First Edition Luxury Line,2020,Benzin,Otomatik,14986,113,1450 cc,1145000
320i ED M Sport,2015,Benzin,Otomatik,125000,113,1450 cc,510000
320d Sport Line,2017,Dizel,Yarı Otomatik,145000,163,1995 cc,732500
320i ED 40th Year Edition,2015,Benzin,Yarı Otomatik,130000,163,1598 cc,645000
320i ED Sport Line,2015,Benzin,Yarı Otomatik,125000,163,1598 cc,555000
320i ED Standart,2013,Benzin,Otomatik,224,163,1598 cc,430000
320i ED Sport Line,2014,Benzin,Yarı Otomatik,178000,163,1598 cc,429000
320si,2006,Benzin,Manuel,219000,163,1997 cc,270000
316i Premium,2007,Benzin & LPG,Manuel,190000,163,1597 cc,232000
320i First Edition Sport Line,2020,Benzin,Otomatik,23900,163,1597 cc,1099000
320d Comfort,2013,Dizel,Otomatik,209000,163,2001 - 2500 cm3,422500
316i Standart,1993,Benzin & LPG,Manuel,345000,163,1596 cc,81750
320d Premium,2008,Dizel,Otomatik,126774,163,1995 cc,365500
316ti Compact,2004,Benzin & LPG,Manuel,295000,163,1596 cc,117000
318i Standart,2002,Benzin & LPG,Otomatik,260000,163,1995 cc,212500
320i ED Sport Line,2016,Benzin,Yarı Otomatik,120000,163,1598 cc,640000
316i Comfort,2013,Benzin,Otomatik,182000,163,1598 cc,480000
320i,1999,Benzin,Manuel,248000,163,1991 cc,160000
316i Standart,2006,Benzin & LPG,Manuel,208000,163,1596 cc,223250
320d Comfort,2011,Dizel,Yarı Otomatik,260000,163,1995 cc,345000
316i Modern Line,2012,Benzin,Yarı Otomatik,129000,163,1598 cc,469000
316i Compact,1999,Benzin & LPG,Otomatik,329000,163,1596 cc,112000
320d M Sport,2012,Dizel,Otomatik,340000,163,1995 cc,363900
320i,2000,Benzin & LPG,Otomatik,387,163,1991 cc,163000
320d Premium,2006,Dizel,Otomatik,291000,163,1995 cc,259000
320d xDrive Comfort,2011,Dizel,Otomatik,182000,163,1995 cc,405000
320i ED Modern Line,2013,Benzin,Otomatik,180000,163,1598 cc,435000
316i Compact,2000,Benzin & LPG,Manuel,296000,163,1596 cc,96500
320i ED Sport Line,2016,Benzin,Yarı Otomatik,141000,163,1598 cc,579900
320i ED Sport Line,2014,Benzin,Yarı Otomatik,104000,163,1598 cc,615000
320d Techno Plus,2014,Dizel,Yarı Otomatik,160000,163,1995 cc,568000
320d Premium,2017,Dizel,Yarı Otomatik,95000,163,1995 cc,846250
320i ED Sport Line,2014,Benzin,Yarı Otomatik,144000,163,1598 cc,558000
320i First Edition M Sport,2022,Benzin,Otomatik,0,163,1597 cc,1395000
316i Standart,1998,Benzin & LPG,Manuel,316888,163,1596 cc,96000
316i M Sport,2014,Benzin,Yarı Otomatik,35000,113,1450 cc,749999
320i First Edition M Sport,2020,Benzin,Otomatik,3000,163,1597 cc,1120000
320i First Edition Sport Line,2020,Benzin,Otomatik,8000,163,1597 cc,1075000
320i First Edition Sport Line,2020,Benzin,Otomatik,5200,163,1597 cc,1110000
320i ED Sport Plus,2015,Benzin,Yarı Otomatik,145000,163,1598 cc,585000
316i Standart,1990,Benzin & LPG,Manuel,245000,163,1596 cc,107900
320i ED 40th Year Edition,2015,Benzin,Yarı Otomatik,85000,163,1598 cc,690000
320i First Edition Sport Line,2020,Benzin,Otomatik,29000,163,1597 cc,1025000
330xd Standart,2005,Dizel,Otomatik,400000,163,2993 cc,240000
320i ED M Plus,2015,Benzin,Yarı Otomatik,87000,163,1598 cc,665000
320i ED Sport Line,2016,Benzin,Otomatik,58500,113,1450 cc,685000
318i Premium Line,2018,Benzin,Otomatik,52500,163,1499 cc,689000
320d Modern Line,2013,Dizel,Yarı Otomatik,251650,163,1995 cc,474750
318i Standart,2006,Benzin,Otomatik,317000,163,1995 cc,230000
320d Standart,2013,Dizel,Otomatik,198000,163,1995 cc,468000
320i First Edition Sport Line,2021,Benzin,Otomatik,28000,163,1597 cc,1175000
320d Modern Line,2012,Dizel,Yarı Otomatik,184000,163,1995 cc,510000
320i ED Standart,2015,Benzin,Otomatik,79000,163,1598 cc,685000
320d Comfort,2010,Dizel,Yarı Otomatik,283000,163,1995 cc,315000
318i Standart,1991,Benzin & LPG,Manuel,235000,163,1796 cc,98000
320d M Sport,2011,Dizel,Otomatik,303000,163,1995 cc,410000
318d Premium,2009,Dizel,Yarı Otomatik,186000,163,1995 cc,321000
320d Standart,2009,Dizel,Otomatik,178000,163,1995 cc,460000
320i ED Techno Plus,2013,Benzin,Otomatik,109000,163,1598 cc,505000
320d Premium,2007,Dizel,Otomatik,308000,163,1995 cc,278000
320i M Sport,2020,Benzin,Otomatik,27400,163,1597 cc,1179000
316i Standart,1994,Benzin & LPG,Manuel,492000,163,1596 cc,78000
320d M Sport,2012,Dizel,Otomatik,211000,163,1995 cc,495000
320d Edition Comfort,2011,Dizel,Otomatik,108000,163,1995 cc,442500
320d Sport Line,2013,Dizel,Yarı Otomatik,194000,163,1995 cc,582500
316i Compact,1995,Benzin & LPG,Manuel,292000,163,1596 cc,77500
320d M Sport,2013,Dizel,Yarı Otomatik,145000,163,1995 cc,440750
316ti Compact,2003,Benzin,Manuel,266000,163,1596 cc,156000
323Ci,1999,Benzin,Manuel,122000,163,2494 cc,203000
320i ED 40th Year Edition,2016,Benzin,Yarı Otomatik,84000,163,1598 cc,835000
320d xDrive M Sport,2014,Dizel,Yarı Otomatik,220000,163,1995 cc,599950
316i Standart,1991,Benzin & LPG,Manuel,260000,163,1596 cc,90000
320i ED Sport Line,2015,Benzin,Yarı Otomatik,155000,163,1598 cc,590000
316i M Sport,2015,Benzin,Yarı Otomatik,123000,163,1598 cc,575000
316i Exclusive,2009,Benzin,Manuel,168540,163,1597 cc,291000
320i ED 40th Year Edition,2015,Benzin,Yarı Otomatik,129000,163,1598 cc,760000
320d M Sport,2008,Dizel,Otomatik,217000,163,1995 cc,408000
328i,1999,Benzin & LPG,Manuel,290000,163,2793 cc,150000
318i M Joy,2015,Benzin,Yarı Otomatik,162000,163,1499 cc,605000
316i M Sport,2014,Benzin,Yarı Otomatik,84000,163,1598 cc,600000
318i Premium Line,2017,Benzin,Otomatik,75000,163,1499 cc,676000
318i Standart,2007,Benzin & LPG,Otomatik,298500,163,1995 cc,222000
320i ED 40th Year Edition,2015,Benzin,Yarı Otomatik,110000,163,1598 cc,690000
318i Edition Sport Line,2017,Benzin,Otomatik,90000,163,1499 cc,695000
320i First Edition Sport Line,2020,Benzin,Otomatik,25000,163,1597 cc,1035000
320d Premium Line,2018,Dizel,Otomatik,33000,163,1995 cc,890000
320d Modern Line,2012,Dizel,Yarı Otomatik,176500,163,1995 cc,575000
318i M Joy Plus,2016,Benzin,Otomatik,125500,113,1450 cc,620000
318i Edition M Sport,2017,Benzin,Otomatik,72000,163,1499 cc,750000
318i Prestige,2015,Benzin,Yarı Otomatik,105000,163,1499 cc,625000
320d Premium,2006,Dizel,Otomatik,260000,163,1995 cc,275000
320i ED Sport Line,2016,Benzin,Yarı Otomatik,77500,163,1598 cc,580000
318i Prestige,2015,Benzin,Yarı Otomatik,120000,163,1499 cc,535000
320d Standart,2013,Dizel,Otomatik,255000,163,1995 cc,479500
320i ED Sport Line,2016,Benzin,Yarı Otomatik,97000,163,1598 cc,607500
320d M Sport,2011,Dizel,Otomatik,200000,163,1995 cc,415000
320d Standart,2010,Dizel,Otomatik,330000,163,1995 cc,323000
318d Prestige,2017,Dizel,Otomatik,137000,163,1995 cc,690000
320i ED 40th Year Edition,2015,Benzin,Yarı Otomatik,95000,163,1900 cc,515000
320i First Edition M Sport,2020,Benzin,Otomatik,26000,163,1597 cc,1200000
